AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
-1.09,-4.93,6.75,-0.76,0.39,0.33,1720428544508
-1.31,-5.30,8.03,-0.96,0.40,0.28,1720428544511
-1.39,-6.41,10.47,-1.16,0.35,0.23,1720428544514
-1.54,-6.51,12.28,-1.19,0.24,0.25,1720428544517
-1.85,-4.97,13.80,-0.95,0.10,0.28,1720428544520
-2.00,-2.89,15.73,-0.63,-0.08,0.29,1720428544522
-1.69,-0.02,17.35,-0.44,-0.26,0.31,1720428544525
-1.00,0.24,18.67,-0.32,-0.40,0.38,1720428544528
-0.45,-1.81,19.39,-0.16,-0.43,0.50,1720428544531
-0.33,-3.62,19.28,0.10,-0.35,0.57,1720428544534
-0.19,-3.78,18.17,0.47,-0.19,0.53,1720428544537
0.07,-1.66,16.71,0.86,-0.00,0.47,1720428544540
0.17,0.39,15.50,1.03,0.10,0.44,1720428544543
0.59,0.65,12.08,1.09,0.17,0.46,1720428544546
0.82,-3.89,6.93,1.16,0.22,0.50,1720428544549
0.54,-5.83,4.08,1.21,0.23,0.47,1720428544552
0.72,-4.49,2.85,1.19,0.23,0.34,1720428544554
1.06,-2.21,2.15,0.93,0.20,0.25,1720428544557
1.39,-1.71,2.14,0.43,0.12,0.27,1720428544560
1.41,-2.62,2.70,-0.06,0.05,0.34,1720428544563
1.05,-3.55,4.14,-0.35,0.04,0.32,1720428544566
0.98,-3.25,5.56,-0.49,0.07,0.23,1720428544569
0.99,-1.72,7.75,-0.57,0.09,0.17,1720428544572
1.02,-0.54,9.09,-0.64,0.08,0.17,1720428544575
0.75,0.64,10.59,-0.72,0.03,0.21,1720428544578
0.42,0.81,12.00,-0.68,-0.02,0.22,1720428544581
0.45,-1.34,13.80,-0.57,-0.03,0.17,1720428544583
0.49,-2.38,14.64,-0.44,-0.00,0.13,1720428544586
0.36,-1.43,15.05,-0.20,0.03,0.13,1720428544589
0.13,-0.59,15.33,-0.00,0.06,0.12,1720428544592
-0.22,-0.91,14.99,0.08,0.10,0.08,1720428544595
-0.46,-2.98,13.93,0.15,0.13,0.05,1720428544598
-0.56,-4.81,11.80,0.30,0.15,0.07,1720428544601
-0.91,-4.37,9.03,0.56,0.14,0.12,1720428544604
-1.41,-3.12,7.89,0.66,0.10,0.13,1720428544607
-1.59,-1.86,5.78,0.58,-0.03,0.11,1720428544610
-1.30,-3.05,4.67,0.38,-0.17,0.12,1720428544613
-1.02,-4.01,4.33,0.23,-0.23,0.14,1720428544615
-1.05,-3.61,4.71,0.15,-0.21,0.15,1720428544618
-1.13,-2.51,5.62,0.00,-0.14,0.14,1720428544621
-1.12,-1.40,6.57,-0.16,-0.05,0.15,1720428544624
-1.15,-0.87,7.25,-0.23,0.05,0.20,1720428544627
-1.36,-1.22,7.75,-0.22,0.11,0.26,1720428544630
-1.47,-1.59,8.40,-0.25,0.11,0.31,1720428544633
-1.29,-2.08,9.28,-0.25,0.08,0.36,1720428544636
-0.85,-2.71,9.70,-0.23,0.03,0.42,1720428544639
-0.52,-3.03,10.20,-0.19,0.00,0.47,1720428544642
-0.16,-2.62,10.75,-0.13,-0.02,0.52,1720428544645
0.31,-1.94,10.79,-0.06,-0.02,0.51,1720428544647
0.79,-1.36,10.17,0.05,-0.00,0.47,1720428544650
0.96,-0.75,9.63,0.15,0.02,0.40,1720428544653
1.20,-1.54,8.94,0.07,-0.00,0.33,1720428544656
1.47,-3.83,9.20,-0.09,-0.02,0.27,1720428544659
1.49,-2.41,9.76,-0.26,-0.02,0.21,1720428544662
1.37,-0.56,11.48,-0.30,0.00,0.12,1720428544665
1.19,0.25,12.67,-0.35,0.02,0.04,1720428544668
1.12,-0.50,13.45,-0.38,0.03,-0.02,1720428544671
0.84,-0.98,13.76,-0.35,0.05,-0.08,1720428544674
0.32,-1.58,13.90,-0.20,0.06,-0.14,1720428544676
-0.12,-3.09,13.25,0.02,0.06,-0.22,1720428544679
-0.58,-4.60,12.23,0.18,0.04,-0.28,1720428544682
-1.03,-4.85,10.66,0.32,0.00,-0.32,1720428544685
-1.35,-3.00,8.54,0.45,-0.05,-0.32,1720428544688
-1.82,0.11,7.02,0.56,-0.10,-0.31,1720428544691
-2.25,2.65,5.42,0.45,-0.17,-0.33,1720428544694
-2.36,1.61,4.64,0.28,-0.20,-0.37,1720428544697
-2.53,-0.90,4.72,0.09,-0.18,-0.44,1720428544700
-2.66,-1.55,5.61,-0.08,-0.11,-0.48,1720428544703
-2.81,-0.45,6.85,-0.20,-0.05,-0.48,1720428544706
-3.46,2.14,8.90,-0.45,0.02,-0.42,1720428544708
-4.04,3.41,10.58,-0.66,0.06,-0.37,1720428544711
-4.14,2.08,12.56,-0.71,0.14,-0.37,1720428544714
-3.90,0.29,13.89,-0.64,0.28,-0.39,1720428544717
-4.48,1.53,14.11,-0.46,0.40,-0.41,1720428544720
-4.90,3.14,14.15,-0.29,0.41,-0.41,1720428544723
-4.67,2.10,14.38,-0.27,0.34,-0.37,1720428544726
-4.60,-0.70,13.81,-0.26,0.22,-0.26,1720428544729
-5.05,-1.64,12.30,-0.03,0.08,-0.16,1720428544732
-4.98,-1.32,11.14,0.31,-0.08,-0.09,1720428544735
-4.75,0.50,9.89,0.49,-0.20,-0.06,1720428544738
-4.42,3.52,8.31,0.57,-0.37,-0.00,1720428544740
-3.80,6.76,6.33,0.48,-0.49,0.03,1720428544743
-3.05,6.29,5.23,0.36,-0.51,0.06,1720428544746
-2.26,3.85,4.57,0.17,-0.42,0.09,1720428544749
-1.58,0.33,5.14,-0.04,-0.26,0.14,1720428544752
-1.06,-1.47,5.68,-0.27,-0.07,0.19,1720428544755
-1.00,-0.17,6.80,-0.38,0.09,0.24,1720428544758
-0.98,2.99,7.94,-0.45,0.18,0.27,1720428544761
-0.90,3.70,9.61,-0.54,0.17,0.31,1720428544764
-0.84,3.77,10.35,-0.61,0.11,0.33,1720428544767
-0.67,1.27,11.89,-0.60,-0.02,0.35,1720428544769
-0.38,-0.27,12.62,-0.50,-0.17,0.33,1720428544772
-0.09,-0.46,13.51,-0.20,-0.29,0.29,1720428544775
0.28,1.36,13.90,0.09,-0.39,0.22,1720428544778
0.71,4.19,13.65,0.31,-0.44,0.18,1720428544781
1.06,8.03,12.50,0.49,-0.44,0.15,1720428544784
1.75,7.58,10.66,0.54,-0.39,0.16,1720428544787
2.30,4.14,7.78,0.54,-0.25,0.18,1720428544790
2.32,0.80,6.23,0.44,-0.08,0.14,1720428544793
2.42,0.37,3.96,0.33,0.09,0.04,1720428544796
2.31,1.96,3.57,0.26,0.23,-0.08,1720428544799
2.23,3.76,3.19,0.12,0.26,-0.15,1720428544801
2.19,4.45,3.78,-0.18,0.22,-0.17,1720428544804
1.99,2.50,5.43,-0.55,0.13,-0.16,1720428544807
1.96,-1.55,7.90,-0.78,0.06,-0.18,1720428544810
1.84,-3.78,9.79,-0.82,0.05,-0.24,1720428544813
1.52,-4.62,12.32,-0.69,0.06,-0.36,1720428544816
