AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
-3.39,1.12,8.29,-0.04,0.18,-0.06,1720439126047
-3.30,0.88,8.58,-0.08,0.19,-0.08,1720439126050
-3.28,0.60,8.95,-0.10,0.19,-0.08,1720439126053
-3.34,0.47,9.28,-0.10,0.19,-0.09,1720439126056
-3.43,0.36,9.63,-0.07,0.19,-0.10,1720439126059
-3.44,0.14,9.75,-0.04,0.18,-0.12,1720439126062
-3.42,-0.09,9.76,-0.02,0.17,-0.12,1720439126065
-3.41,-0.30,9.66,0.01,0.16,-0.11,1720439126068
-3.38,-0.38,9.51,0.04,0.14,-0.08,1720439126071
-3.32,-0.22,9.28,0.05,0.13,-0.06,1720439126074
-3.31,0.05,9.15,0.05,0.13,-0.05,1720439126076
-3.25,0.28,8.96,0.04,0.13,-0.06,1720439126079
-3.17,0.40,8.94,0.01,0.14,-0.08,1720439126082
-3.17,0.48,8.96,-0.01,0.14,-0.09,1720439126085
-3.15,0.40,9.08,-0.03,0.15,-0.10,1720439126088
-3.17,0.33,9.17,-0.05,0.15,-0.11,1720439126091
-3.17,0.11,9.39,-0.06,0.15,-0.11,1720439126094
-3.17,0.03,9.44,-0.05,0.15,-0.11,1720439126097
-3.22,-0.12,9.62,-0.04,0.14,-0.10,1720439126100
-3.24,-0.05,9.61,-0.02,0.13,-0.10,1720439126103
-3.23,-0.16,9.56,0.00,0.12,-0.10,1720439126105
-3.17,-0.15,9.33,0.02,0.11,-0.09,1720439126108
-3.16,-0.15,9.15,0.04,0.10,-0.09,1720439126111
-3.15,-0.04,8.85,0.05,0.10,-0.08,1720439126114
-3.15,0.09,8.61,0.05,0.09,-0.09,1720439126117
-3.16,0.19,8.45,0.03,0.09,-0.11,1720439126120
-3.20,0.18,8.37,-0.00,0.10,-0.12,1720439126123
-3.23,0.12,8.40,-0.03,0.10,-0.13,1720439126126
-3.27,0.05,8.53,-0.04,0.10,-0.13,1720439126129
-3.31,0.08,8.81,-0.06,0.10,-0.11,1720439126132
-3.32,0.05,9.18,-0.07,0.10,-0.10,1720439126135
-3.32,-0.03,9.47,-0.07,0.10,-0.08,1720439126138
-3.27,-0.15,9.71,-0.05,0.10,-0.07,1720439126140
-3.21,-0.19,9.79,-0.03,0.10,-0.06,1720439126143
-3.21,-0.21,9.80,-0.00,0.11,-0.05,1720439126146
-3.21,-0.18,9.69,0.01,0.10,-0.05,1720439126149
-3.18,-0.23,9.47,0.03,0.10,-0.06,1720439126152
-3.16,-0.26,9.18,0.04,0.09,-0.07,1720439126155
-3.18,-0.34,8.94,0.05,0.08,-0.08,1720439126158
-3.18,-0.35,8.76,0.04,0.07,-0.09,1720439126161
-3.17,-0.32,8.54,0.04,0.06,-0.08,1720439126164
-3.16,-0.18,8.50,0.03,0.05,-0.08,1720439126167
-3.15,-0.20,8.59,-0.00,0.05,-0.06,1720439126170
-3.11,-0.14,8.75,-0.04,0.04,-0.04,1720439126172
-3.06,-0.05,9.08,-0.06,0.05,-0.03,1720439126175
-3.04,-0.04,9.43,-0.07,0.06,-0.02,1720439126178
-2.94,-0.25,9.75,-0.07,0.07,-0.02,1720439126181
-2.86,-0.35,9.94,-0.06,0.08,-0.01,1720439126184
-2.76,-0.33,10.04,-0.04,0.09,0.01,1720439126187
-2.68,-0.23,9.96,-0.01,0.09,0.02,1720439126190
-2.67,-0.19,9.89,0.01,0.09,0.02,1720439126193
-2.62,-0.23,9.59,0.03,0.08,0.01,1720439126196
-2.52,-0.39,9.22,0.05,0.07,-0.00,1720439126199
-2.43,-0.40,8.83,0.06,0.06,-0.01,1720439126201
-2.38,-0.25,8.56,0.07,0.05,-0.02,1720439126204
-2.33,-0.08,8.37,0.05,0.05,-0.03,1720439126207
-2.27,-0.02,8.27,0.03,0.05,-0.03,1720439126210
-2.20,-0.07,8.23,-0.00,0.06,-0.03,1720439126213
-2.15,-0.08,8.35,-0.02,0.07,-0.03,1720439126216
-2.14,-0.03,8.59,-0.04,0.08,-0.04,1720439126219
-2.14,-0.06,8.83,-0.06,0.09,-0.05,1720439126222
-2.11,-0.12,9.12,-0.07,0.09,-0.07,1720439126225
-2.10,-0.25,9.34,-0.07,0.10,-0.07,1720439126228
-2.10,-0.42,9.63,-0.07,0.10,-0.08,1720439126231
-2.10,-0.51,9.91,-0.06,0.10,-0.08,1720439126233
-2.15,-0.38,10.04,-0.04,0.10,-0.08,1720439126236
-2.16,-0.39,10.08,-0.01,0.10,-0.10,1720439126239
-2.15,-0.45,9.96,0.01,0.10,-0.11,1720439126242
-2.15,-0.61,9.79,0.03,0.10,-0.13,1720439126245
-2.15,-0.72,9.53,0.04,0.10,-0.13,1720439126248
-2.18,-0.73,9.28,0.05,0.10,-0.12,1720439126251
-2.20,-0.68,9.05,0.04,0.10,-0.12,1720439126254
-2.22,-0.57,8.96,0.03,0.10,-0.12,1720439126257
-2.19,-0.52,8.89,0.03,0.11,-0.12,1720439126260
-2.16,-0.46,8.81,0.02,0.11,-0.12,1720439126263
-2.15,-0.55,8.78,0.01,0.12,-0.12,1720439126265
-2.09,-0.57,8.67,0.01,0.13,-0.12,1720439126268
-2.06,-0.45,8.69,0.02,0.14,-0.11,1720439126271
-2.07,-0.27,8.62,0.02,0.15,-0.12,1720439126274
-2.18,-0.20,8.58,0.01,0.15,-0.14,1720439126277
-2.27,-0.32,8.52,0.00,0.14,-0.19,1720439126280
-2.36,-0.51,8.50,-0.00,0.14,-0.23,1720439126283
-2.41,-0.80,8.56,-0.01,0.12,-0.24,1720439126286
-2.48,-0.91,8.64,-0.01,0.11,-0.22,1720439126289
-2.53,-0.99,8.78,-0.02,0.10,-0.21,1720439126292
-2.61,-1.00,8.93,-0.02,0.09,-0.19,1720439126295
-2.75,-1.09,9.16,-0.03,0.09,-0.18,1720439126297
-2.80,-1.14,9.35,-0.03,0.10,-0.20,1720439126300
-2.86,-1.07,9.48,-0.02,0.11,-0.23,1720439126303
-3.04,-0.81,9.58,-0.00,0.12,-0.25,1720439126306
-3.32,-0.74,9.61,0.01,0.12,-0.28,1720439126309
-3.51,-1.07,9.45,0.01,0.10,-0.31,1720439126312
-3.61,-1.51,9.17,0.03,0.08,-0.32,1720439126315
-3.64,-1.75,9.02,0.06,0.05,-0.29,1720439126318
-3.62,-1.80,8.90,0.09,0.04,-0.22,1720439126321
-3.63,-1.58,8.86,0.09,0.04,-0.18,1720439126324
-3.59,-1.03,8.89,0.07,0.05,-0.12,1720439126327
-3.57,-0.55,8.85,0.04,0.07,-0.10,1720439126329
-3.58,-0.39,8.83,0.02,0.12,-0.11,1720439126332
-3.53,-0.45,8.87,-0.02,0.15,-0.13,1720439126335
-3.56,-0.62,8.95,-0.04,0.18,-0.16,1720439126338
-3.59,-0.79,9.04,-0.05,0.18,-0.17,1720439126341
-3.72,-1.02,9.20,-0.05,0.17,-0.18,1720439126344
-3.77,-1.37,9.24,-0.04,0.15,-0.18,1720439126347
-3.78,-1.68,9.24,-0.02,0.12,-0.18,1720439126350
-3.83,-1.76,9.23,0.02,0.09,-0.17,1720439126353
-3.87,-1.70,9.13,0.04,0.08,-0.18,1720439126356
-3.94,-1.44,8.97,0.06,0.06,-0.21,1720439126358
-3.99,-1.14,8.82,0.06,0.04,-0.24,1720439126361
-4.01,-0.98,8.65,0.06,0.03,-0.26,1720439126364
-4.08,-0.97,8.58,0.04,0.01,-0.26,1720439126367
-4.21,-0.99,8.68,0.01,-0.01,-0.26,1720439126370
-4.31,-0.87,8.89,-0.01,-0.02,-0.26,1720439126373
-4.39,-0.84,9.24,-0.03,-0.03,-0.27,1720439126376
-4.41,-0.97,9.69,-0.04,-0.03,-0.27,1720439126379
-4.40,-1.20,10.07,-0.05,-0.02,-0.26,1720439126382
-4.35,-1.41,10.36,-0.04,-0.01,-0.23,1720439126385
-4.29,-1.47,10.45,-0.02,0.00,-0.20,1720439126388
-4.23,-1.41,10.58,0.03,0.02,-0.16,1720439126390
-4.13,-1.35,10.40,0.07,0.04,-0.13,1720439126393
-3.96,-1.34,9.98,0.10,0.05,-0.11,1720439126396
-3.79,-1.23,9.41,0.13,0.05,-0.10,1720439126399
-3.70,-1.07,8.81,0.15,0.04,-0.10,1720439126402
-3.57,-0.96,8.31,0.14,0.03,-0.13,1720439126405
-3.42,-0.86,7.88,0.12,0.02,-0.16,1720439126408
-3.30,-0.85,7.69,0.09,0.00,-0.18,1720439126411
-3.24,-0.90,7.68,0.05,-0.01,-0.20,1720439126414
-3.24,-0.97,7.88,0.01,-0.02,-0.22,1720439126417
-3.22,-1.03,8.11,-0.01,-0.02,-0.24,1720439126420
-3.20,-1.19,8.50,-0.03,-0.02,-0.26,1720439126422
-3.23,-1.33,8.94,-0.03,-0.01,-0.28,1720439126425
-3.31,-1.41,9.35,-0.03,-0.01,-0.29,1720439126428
-3.44,-1.46,9.66,-0.02,-0.01,-0.30,1720439126431
-3.55,-1.46,9.84,0.01,-0.01,-0.32,1720439126434
-3.68,-1.47,9.90,0.04,-0.02,-0.34,1720439126437
-3.83,-1.55,9.91,0.06,-0.02,-0.36,1720439126440
-3.96,-1.63,9.67,0.08,-0.03,-0.37,1720439126443
-4.11,-1.71,9.43,0.10,-0.04,-0.37,1720439126446
-4.23,-1.77,9.17,0.10,-0.04,-0.37,1720439126449
-4.31,-2.02,8.96,0.09,-0.04,-0.36,1720439126452
-4.33,-2.11,8.93,0.08,-0.05,-0.35,1720439126454
-4.40,-2.19,8.85,0.06,-0.05,-0.33,1720439126457
-4.53,-2.07,8.84,0.04,-0.05,-0.32,1720439126460
-4.64,-1.87,9.06,0.03,-0.05,-0.32,1720439126463
-4.68,-1.77,9.24,0.02,-0.05,-0.33,1720439126466
-4.69,-1.88,9.40,0.03,-0.06,-0.33,1720439126469
-4.71,-2.13,9.38,0.05,-0.06,-0.31,1720439126472
-4.79,-2.19,9.21,0.07,-0.07,-0.28,1720439126475
-4.90,-2.10,9.01,0.10,-0.08,-0.28,1720439126478
-4.97,-1.90,8.70,0.12,-0.09,-0.29,1720439126481
-4.96,-1.67,8.43,0.13,-0.11,-0.30,1720439126484
-4.92,-1.64,8.31,0.13,-0.12,-0.29,1720439126486
-4.85,-1.70,8.16,0.11,-0.15,-0.25,1720439126489
-4.79,-1.78,8.07,0.08,-0.16,-0.21,1720439126492
-4.77,-1.83,8.10,0.05,-0.17,-0.18,1720439126495
-4.69,-1.83,8.23,0.02,-0.16,-0.18,1720439126498
-4.57,-1.90,8.62,-0.01,-0.16,-0.17,1720439126501
-4.44,-2.03,9.06,-0.04,-0.15,-0.16,1720439126504
-4.29,-2.17,9.51,-0.05,-0.15,-0.13,1720439126507
-4.13,-2.27,9.93,-0.05,-0.15,-0.11,1720439126510
-3.99,-2.23,10.29,-0.03,-0.15,-0.09,1720439126513
-3.84,-2.12,10.49,0.00,-0.15,-0.08,1720439126516
-3.71,-2.05,10.57,0.02,-0.15,-0.08,1720439126518
-3.52,-2.04,10.50,0.06,-0.15,-0.08,1720439126521
-3.32,-2.16,10.25,0.09,-0.15,-0.08,1720439126524
-3.14,-2.27,9.85,0.11,-0.16,-0.08,1720439126527
-2.97,-2.33,9.42,0.13,-0.15,-0.08,1720439126530
-2.78,-2.28,8.98,0.13,-0.15,-0.09,1720439126533
-2.68,-2.18,8.60,0.12,-0.15,-0.11,1720439126536
-2.58,-2.05,8.34,0.11,-0.15,-0.13,1720439126539
-2.46,-1.98,8.13,0.09,-0.15,-0.15,1720439126542
-2.38,-1.97,8.10,0.07,-0.16,-0.18,1720439126545
-2.31,-2.00,8.17,0.05,-0.17,-0.20,1720439126547
-2.27,-1.98,8.23,0.04,-0.17,-0.21,1720439126550
-2.23,-1.89,8.44,0.03,-0.18,-0.22,1720439126553
-2.21,-1.83,8.67,0.03,-0.18,-0.23,1720439126556
-2.19,-1.83,8.88,0.02,-0.18,-0.26,1720439126559
-2.17,-1.92,9.00,0.03,-0.18,-0.29,1720439126562
-2.14,-2.00,9.10,0.04,-0.17,-0.31,1720439126565
-2.15,-2.15,9.17,0.05,-0.17,-0.33,1720439126568
-2.20,-2.29,9.17,0.06,-0.16,-0.34,1720439126571
-2.25,-2.45,9.09,0.05,-0.16,-0.35,1720439126574
-2.29,-2.55,9.01,0.05,-0.15,-0.36,1720439126577
-2.36,-2.60,9.02,0.05,-0.15,-0.39,1720439126579
-2.43,-2.57,9.05,0.05,-0.14,-0.40,1720439126582
-2.53,-2.50,9.09,0.04,-0.13,-0.42,1720439126585
-2.66,-2.48,9.21,0.03,-0.13,-0.44,1720439126588
-2.78,-2.57,9.31,0.03,-0.12,-0.45,1720439126591
-2.92,-2.64,9.42,0.03,-0.12,-0.46,1720439126594
-3.10,-2.71,9.46,0.04,-0.12,-0.47,1720439126597
-3.29,-2.75,9.43,0.05,-0.13,-0.48,1720439126600
-3.46,-2.79,9.42,0.06,-0.13,-0.50,1720439126603
-3.62,-2.78,9.33,0.08,-0.15,-0.50,1720439126606
-3.80,-2.76,9.19,0.09,-0.16,-0.50,1720439126609
-3.93,-2.75,9.11,0.09,-0.18,-0.50,1720439126611
-4.01,-2.77,8.99,0.10,-0.20,-0.49,1720439126614
-4.10,-2.83,8.88,0.10,-0.21,-0.48,1720439126617
-4.18,-2.87,8.84,0.10,-0.22,-0.46,1720439126620
-4.25,-2.81,8.75,0.09,-0.22,-0.45,1720439126623
-4.31,-2.77,8.74,0.08,-0.21,-0.44,1720439126626
