AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
-1.42,-0.10,9.61,-0.01,0.00,-0.03,1720170471186
-1.30,-0.12,9.49,-0.01,-0.00,-0.02,1720170471200
-1.27,-0.11,9.55,-0.01,-0.00,-0.01,1720170471203
-1.25,-0.12,9.54,-0.01,-0.00,-0.01,1720170471206
-1.23,-0.14,9.54,-0.01,-0.00,-0.02,1720170471209
-1.21,-0.14,9.53,-0.01,0.00,-0.02,1720170471212
-1.18,-0.16,9.54,-0.01,0.00,-0.02,1720170471215
-1.16,-0.17,9.57,-0.01,0.00,-0.02,1720170471218
-1.13,-0.19,9.60,-0.01,0.00,-0.02,1720170471220
-1.13,-0.20,9.61,-0.01,0.00,-0.02,1720170471223
-1.11,-0.18,9.61,-0.01,0.00,-0.02,1720170471226
-1.08,-0.17,9.58,-0.01,0.00,-0.03,1720170471229
-1.10,-0.19,9.58,-0.01,0.00,-0.03,1720170471232
-1.11,-0.20,9.59,-0.01,0.00,-0.03,1720170471235
-1.13,-0.20,9.60,-0.01,0.00,-0.03,1720170471238
-1.13,-0.21,9.59,-0.01,0.00,-0.03,1720170471241
-1.13,-0.21,9.56,-0.01,0.01,-0.03,1720170471244
-1.12,-0.21,9.56,-0.01,0.01,-0.04,1720170471247
-1.16,-0.19,9.58,-0.01,0.00,-0.04,1720170471250
-1.16,-0.19,9.57,-0.01,0.01,-0.04,1720170471252
-1.21,-0.21,9.58,-0.01,0.01,-0.04,1720170471255
-1.22,-0.20,9.58,-0.01,0.00,-0.04,1720170471258
-1.24,-0.20,9.61,-0.01,0.01,-0.04,1720170471261
-1.25,-0.21,9.58,-0.01,0.01,-0.04,1720170471264
-1.26,-0.19,9.57,-0.01,0.01,-0.04,1720170471267
-1.26,-0.19,9.58,-0.01,0.00,-0.04,1720170471270
-1.29,-0.20,9.59,-0.01,0.00,-0.04,1720170471273
-1.33,-0.20,9.55,-0.01,0.00,-0.04,1720170471276
-1.35,-0.22,9.56,-0.01,0.01,-0.04,1720170471279
-1.36,-0.24,9.57,-0.01,0.01,-0.04,1720170471281
-1.38,-0.23,9.53,-0.01,0.01,-0.04,1720170471284
-1.41,-0.23,9.58,-0.01,0.01,-0.04,1720170471287
-1.41,-0.23,9.59,-0.01,0.01,-0.04,1720170471290
-1.43,-0.23,9.61,-0.01,0.00,-0.04,1720170471293
-1.45,-0.23,9.60,-0.01,0.00,-0.03,1720170471296
-1.47,-0.23,9.58,-0.01,0.00,-0.03,1720170471299
-1.48,-0.23,9.59,-0.00,0.00,-0.03,1720170471302
-1.49,-0.22,9.55,-0.00,0.00,-0.03,1720170471305
-1.47,-0.22,9.58,-0.01,0.00,-0.03,1720170471308
-1.46,-0.20,9.60,-0.00,0.00,-0.02,1720170471311
-1.45,-0.21,9.58,-0.00,0.00,-0.02,1720170471313
-1.44,-0.21,9.58,-0.00,0.00,-0.02,1720170471316
-1.40,-0.21,9.58,-0.01,-0.00,-0.01,1720170471319
-1.37,-0.21,9.59,-0.01,-0.00,-0.01,1720170471322
-1.34,-0.20,9.58,-0.00,-0.00,-0.01,1720170471325
-1.30,-0.20,9.60,-0.00,0.00,-0.01,1720170471328
-1.27,-0.19,9.60,-0.01,-0.00,-0.01,1720170471331
-1.25,-0.19,9.59,-0.01,-0.00,-0.01,1720170471334
-1.22,-0.16,9.60,-0.00,-0.00,-0.00,1720170471337
-1.15,-0.18,9.60,-0.00,-0.00,-0.00,1720170471340
-1.11,-0.17,9.55,-0.00,-0.00,-0.01,1720170471343
-1.09,-0.15,9.56,-0.00,-0.00,-0.01,1720170471345
-1.05,-0.13,9.56,-0.00,-0.00,-0.01,1720170471348
