AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
-0.69,-0.11,9.80,-0.01,-0.01,-0.01,1720171271193
-0.52,-0.15,9.89,0.00,-0.02,-0.01,1720171271214
-0.52,-0.15,9.85,0.01,-0.02,-0.01,1720171271217
-0.50,-0.13,9.84,0.01,-0.02,-0.02,1720171271220
-0.50,-0.13,9.78,0.01,-0.02,-0.02,1720171271223
-0.49,-0.14,9.71,0.00,-0.02,-0.02,1720171271226
-0.50,-0.12,9.68,0.00,-0.02,-0.02,1720171271229
-0.48,-0.11,9.70,-0.00,-0.02,-0.02,1720171271232
-0.48,-0.14,9.70,-0.01,-0.02,-0.02,1720171271234
-0.49,-0.12,9.72,-0.01,-0.02,-0.02,1720171271237
-0.49,-0.11,9.72,-0.01,-0.02,-0.02,1720171271240
-0.47,-0.12,9.73,-0.01,-0.02,-0.02,1720171271243
-0.45,-0.12,9.80,-0.01,-0.02,-0.02,1720171271246
-0.45,-0.15,9.85,-0.01,-0.02,-0.02,1720171271249
-0.44,-0.16,9.86,-0.01,-0.02,-0.02,1720171271252
-0.47,-0.17,9.87,-0.01,-0.02,-0.02,1720171271255
-0.48,-0.19,9.92,-0.01,-0.02,-0.02,1720171271258
-0.44,-0.21,9.95,-0.01,-0.02,-0.02,1720171271261
-0.42,-0.23,9.94,-0.00,-0.02,-0.01,1720171271264
-0.42,-0.24,9.90,-0.00,-0.02,-0.01,1720171271266
-0.38,-0.23,9.87,0.00,-0.02,-0.01,1720171271269
-0.34,-0.20,9.85,0.00,-0.02,-0.01,1720171271272
-0.31,-0.16,9.84,0.00,-0.02,-0.01,1720171271275
-0.28,-0.13,9.81,0.00,-0.02,-0.01,1720171271278
-0.27,-0.14,9.79,0.00,-0.01,-0.01,1720171271281
-0.25,-0.13,9.72,0.00,-0.01,-0.01,1720171271284
-0.22,-0.12,9.71,-0.00,-0.01,-0.01,1720171271287
-0.19,-0.15,9.75,-0.01,-0.01,-0.02,1720171271290
-0.18,-0.15,9.74,-0.01,-0.01,-0.02,1720171271293
-0.16,-0.13,9.76,-0.01,-0.01,-0.02,1720171271295
-0.19,-0.15,9.81,-0.01,-0.01,-0.03,1720171271298
-0.20,-0.17,9.82,-0.01,-0.01,-0.03,1720171271301
-0.20,-0.20,9.89,-0.01,-0.01,-0.03,1720171271304
-0.21,-0.21,9.92,-0.01,-0.01,-0.04,1720171271307
-0.22,-0.21,9.95,-0.01,-0.00,-0.04,1720171271310
-0.23,-0.20,9.98,-0.01,-0.00,-0.04,1720171271313
-0.24,-0.19,9.98,-0.00,-0.00,-0.04,1720171271316
-0.26,-0.16,9.91,-0.00,-0.00,-0.04,1720171271319
-0.26,-0.14,9.85,0.00,-0.00,-0.04,1720171271322
-0.30,-0.11,9.83,0.00,-0.00,-0.05,1720171271325
-0.36,-0.10,9.74,0.00,-0.00,-0.05,1720171271327
-0.39,-0.10,9.69,0.00,-0.01,-0.05,1720171271330
-0.41,-0.09,9.67,0.00,-0.01,-0.05,1720171271333
-0.43,-0.09,9.65,-0.00,-0.01,-0.05,1720171271336
-0.45,-0.09,9.65,-0.01,-0.00,-0.06,1720171271339
-0.49,-0.09,9.67,-0.01,-0.00,-0.06,1720171271342
-0.54,-0.11,9.70,-0.02,-0.00,-0.06,1720171271345
-0.57,-0.11,9.79,-0.02,-0.00,-0.05,1720171271348
-0.60,-0.09,9.82,-0.02,-0.00,-0.05,1720171271351
-0.63,-0.12,9.87,-0.02,-0.00,-0.05,1720171271354
-0.62,-0.12,9.91,-0.02,-0.00,-0.05,1720171271357
-0.64,-0.14,9.94,-0.01,-0.00,-0.04,1720171271359
-0.66,-0.12,9.97,-0.01,-0.00,-0.04,1720171271362
-0.67,-0.12,9.96,-0.00,-0.00,-0.04,1720171271365
-0.68,-0.12,9.93,0.00,-0.01,-0.03,1720171271368
-0.68,-0.14,9.90,0.01,-0.01,-0.03,1720171271371
-0.68,-0.15,9.84,0.01,-0.01,-0.03,1720171271374
-0.68,-0.12,9.77,0.01,-0.01,-0.02,1720171271377
-0.65,-0.11,9.73,0.01,-0.01,-0.02,1720171271380
-0.63,-0.11,9.71,0.01,-0.01,-0.02,1720171271383
-0.63,-0.12,9.65,0.00,-0.01,-0.01,1720171271386
-0.61,-0.09,9.63,-0.00,-0.01,-0.01,1720171271389
-0.60,-0.08,9.60,-0.01,-0.01,-0.01,1720171271391
-0.56,-0.07,9.62,-0.01,-0.01,-0.00,1720171271394
-0.49,-0.06,9.65,-0.01,-0.01,-0.00,1720171271397
-0.46,-0.08,9.73,-0.01,-0.01,-0.01,1720171271400
-0.45,-0.09,9.76,-0.01,-0.01,-0.00,1720171271403
-0.41,-0.11,9.81,-0.01,-0.01,-0.00,1720171271406
-0.37,-0.12,9.86,-0.01,-0.01,-0.00,1720171271409
-0.35,-0.12,9.91,-0.01,-0.01,-0.00,1720171271412
-0.34,-0.15,9.93,-0.01,-0.01,-0.00,1720171271415
-0.33,-0.16,9.97,-0.01,-0.01,-0.00,1720171271418
-0.32,-0.16,9.95,-0.00,-0.01,-0.01,1720171271421
-0.29,-0.14,9.94,-0.00,-0.01,-0.01,1720171271423
-0.28,-0.14,9.87,-0.00,-0.01,-0.01,1720171271426
-0.29,-0.13,9.83,0.00,-0.01,-0.02,1720171271429
-0.26,-0.11,9.81,0.00,-0.01,-0.02,1720171271432
-0.25,-0.10,9.83,0.00,-0.01,-0.03,1720171271435
-0.27,-0.10,9.83,-0.00,-0.01,-0.03,1720171271438
-0.31,-0.08,9.83,-0.00,-0.01,-0.04,1720171271441
-0.32,-0.10,9.79,-0.00,-0.01,-0.04,1720171271444
-0.34,-0.11,9.77,-0.00,-0.01,-0.04,1720171271447
-0.35,-0.11,9.75,-0.00,-0.00,-0.05,1720171271450
-0.40,-0.12,9.70,-0.00,-0.00,-0.05,1720171271453
-0.44,-0.13,9.69,-0.00,-0.00,-0.05,1720171271455
-0.46,-0.14,9.71,-0.01,-0.00,-0.06,1720171271458
-0.48,-0.14,9.70,-0.01,-0.01,-0.06,1720171271461
-0.50,-0.15,9.70,-0.01,-0.01,-0.06,1720171271464
-0.57,-0.17,9.71,-0.01,-0.01,-0.06,1720171271467
-0.65,-0.18,9.71,-0.01,-0.01,-0.06,1720171271470
-0.70,-0.19,9.72,-0.01,-0.01,-0.06,1720171271473
-0.73,-0.22,9.75,-0.01,-0.01,-0.05,1720171271476
-0.75,-0.21,9.79,-0.01,-0.01,-0.05,1720171271479
-0.75,-0.22,9.79,-0.01,-0.01,-0.04,1720171271482
-0.77,-0.23,9.83,-0.01,-0.01,-0.04,1720171271485
-0.77,-0.21,9.87,-0.01,-0.01,-0.03,1720171271487
-0.77,-0.20,9.84,-0.01,-0.01,-0.03,1720171271490
-0.77,-0.20,9.84,-0.01,-0.01,-0.02,1720171271493
-0.75,-0.20,9.89,-0.01,-0.01,-0.02,1720171271496
-0.73,-0.21,9.90,-0.00,-0.02,-0.01,1720171271499
-0.71,-0.19,9.85,-0.00,-0.02,-0.00,1720171271502
-0.68,-0.19,9.84,-0.00,-0.02,-0.00,1720171271505
-0.61,-0.19,9.80,-0.00,-0.02,0.00,1720171271508
-0.57,-0.20,9.76,-0.00,-0.02,0.01,1720171271511
-0.50,-0.21,9.73,-0.00,-0.02,0.01,1720171271514
-0.45,-0.21,9.70,-0.00,-0.02,0.01,1720171271517
-0.39,-0.19,9.73,-0.01,-0.02,0.01,1720171271519
-0.39,-0.16,9.78,-0.01,-0.02,0.01,1720171271522
-0.29,-0.12,9.81,-0.01,-0.02,0.01,1720171271525
-0.24,-0.14,9.84,-0.01,-0.02,0.01,1720171271528
-0.20,-0.15,9.83,-0.01,-0.02,0.01,1720171271531
-0.18,-0.14,9.87,-0.01,-0.02,-0.00,1720171271534
-0.14,-0.13,9.86,-0.01,-0.02,-0.00,1720171271537
-0.12,-0.10,9.90,-0.01,-0.02,-0.01,1720171271540
-0.10,-0.11,9.87,-0.00,-0.02,-0.01,1720171271543
-0.09,-0.12,9.85,-0.00,-0.01,-0.02,1720171271546
-0.10,-0.11,9.78,0.00,-0.01,-0.02,1720171271548
-0.13,-0.07,9.76,0.00,-0.01,-0.03,1720171271551
-0.11,-0.08,9.73,0.00,-0.01,-0.04,1720171271554
-0.15,-0.10,9.70,-0.00,-0.01,-0.04,1720171271557
-0.18,-0.11,9.65,-0.00,-0.01,-0.05,1720171271560
-0.23,-0.13,9.67,-0.01,-0.01,-0.05,1720171271563
-0.26,-0.15,9.68,-0.01,-0.01,-0.05,1720171271566
-0.32,-0.17,9.76,-0.01,-0.00,-0.06,1720171271569
-0.37,-0.19,9.84,-0.02,-0.00,-0.06,1720171271572
