AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
1.44,2.76,10.00,0.10,0.25,0.29,1720971583477
1.46,3.43,9.91,0.06,0.33,0.29,1720971583480
1.37,3.62,9.59,0.01,0.38,0.29,1720971583483
0.98,2.62,9.74,-0.07,0.29,0.30,1720971583493
0.93,2.48,10.19,-0.06,0.22,0.29,1720971583496
1.29,1.60,9.05,0.02,-0.16,0.31,1720971583516
1.53,1.74,8.50,0.02,-0.19,0.32,1720971583519
2.41,1.51,8.46,-0.02,-0.19,0.38,1720971583529
2.67,1.78,8.67,-0.06,-0.15,0.38,1720971583532
2.92,2.05,9.16,-0.09,-0.09,0.37,1720971583535
3.80,2.68,11.58,-0.11,0.22,0.30,1720971583545
3.84,2.67,11.80,-0.09,0.30,0.27,1720971583548
3.78,2.62,11.63,-0.05,0.37,0.22,1720971583551
2.90,2.72,9.61,0.10,0.33,0.00,1720971583561
2.51,2.80,8.94,0.08,0.25,-0.07,1720971583564
2.16,2.72,8.32,0.05,0.16,-0.14,1720971583567
1.19,1.95,8.43,-0.10,-0.10,-0.22,1720971583577
1.12,1.56,9.09,-0.14,-0.12,-0.21,1720971583580
1.05,1.23,9.72,-0.17,-0.10,-0.17,1720971583583
0.84,0.78,11.56,-0.09,0.15,0.00,1720971583593
0.86,1.14,11.90,-0.06,0.25,0.03,1720971583596
0.89,1.59,12.00,-0.03,0.33,0.05,1720971583599
0.99,2.82,11.39,0.00,0.31,0.11,1720971583609
0.98,2.85,11.37,-0.01,0.23,0.11,1720971583612
1.03,2.83,11.19,-0.02,0.12,0.08,1720971583615
1.24,2.57,10.51,0.05,-0.27,-0.06,1720971583625
1.31,2.46,10.34,0.06,-0.34,-0.10,1720971583628
1.30,2.38,10.11,0.06,-0.36,-0.14,1720971583631
1.29,2.21,9.16,0.04,-0.22,-0.14,1720971583641
1.37,2.38,9.54,0.01,-0.11,-0.11,1720971583644
1.41,2.48,9.88,-0.03,0.02,-0.08,1720971583647
1.15,1.97,9.84,-0.03,0.42,-0.00,1720971583657
0.98,2.06,9.83,0.01,0.48,-0.01,1720971583660
