AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
-1.04,0.47,8.39,-0.38,0.41,-0.44,1720972159517
-1.25,-1.85,9.35,-0.35,0.53,-0.24,1720972159519
-1.38,-1.28,10.54,-0.32,0.65,-0.04,1720972159522
-1.60,-0.37,12.25,-0.24,0.70,0.11,1720972159525
-1.13,0.84,14.97,-0.24,0.69,0.23,1720972159528
-0.82,1.97,15.84,-0.30,0.56,0.33,1720972159531
-0.77,2.58,15.24,-0.27,0.36,0.36,1720972159534
-0.47,1.65,15.41,-0.12,0.14,0.32,1720972159537
0.00,0.73,15.48,0.01,-0.02,0.28,1720972159540
0.86,0.83,14.30,0.23,-0.23,0.20,1720972159543
2.07,5.50,7.46,0.60,-0.53,-0.16,1720972159553
1.98,6.25,5.79,0.51,-0.51,-0.21,1720972159556
1.75,6.78,3.85,0.39,-0.47,-0.27,1720972159559
1.06,4.62,3.98,-0.07,0.11,-0.40,1720972159569
0.82,3.59,4.28,-0.09,0.26,-0.41,1720972159572
0.56,1.81,5.43,-0.12,0.49,-0.39,1720972159575
-1.10,-0.35,9.26,-0.38,1.34,-0.31,1720972159585
-1.92,-1.10,10.54,-0.41,1.47,-0.26,1720972159588
-3.04,-1.92,11.85,-0.41,1.44,-0.17,1720972159591
-4.38,0.40,10.35,-0.08,0.31,0.07,1720972159601
-4.43,2.75,10.37,0.15,-0.14,0.07,1720972159604
-4.08,5.48,10.34,0.30,-0.55,0.07,1720972159607
-1.55,5.29,10.73,-0.12,-0.96,0.25,1720972159617
-1.03,3.77,9.35,-0.16,-0.74,0.28,1720972159620
-0.48,1.68,9.32,-0.13,-0.49,0.34,1720972159623
1.11,1.20,9.21,-0.08,0.37,0.63,1720972159633
1.49,1.65,9.66,-0.15,0.62,0.65,1720972159636
1.97,-0.02,10.12,-0.27,0.81,0.67,1720972159639
2.41,-7.15,10.18,-0.46,0.89,0.74,1720972159649
2.11,-5.35,9.27,-0.25,0.72,0.69,1720972159652
2.19,-3.62,8.60,0.10,0.44,0.58,1720972159655
3.81,8.60,15.10,0.38,-0.30,0.19,1720972159665
2.99,14.03,11.20,0.21,-0.34,0.05,1720972159668
2.34,13.92,10.62,0.22,-0.37,-0.12,1720972159671
1.68,9.06,8.15,0.28,0.03,-0.20,1720972159681
1.29,8.66,8.10,0.37,0.24,-0.29,1720972159684
1.01,8.67,7.63,0.38,0.45,-0.33,1720972159687
-0.94,3.24,6.61,-0.20,0.98,-0.08,1720972159697
-2.17,0.40,7.35,-0.42,1.06,-0.00,1720972159700
-2.80,-0.70,7.79,-0.54,1.09,0.04,1720972159703
-3.20,-1.17,11.09,-0.30,0.48,0.25,1720972159713
-2.82,1.51,11.86,-0.22,0.10,0.38,1720972159716
-2.41,2.33,10.97,-0.11,-0.27,0.49,1720972159719
0.02,-1.24,9.55,-0.00,-0.78,0.77,1720972159729
0.68,-0.24,8.41,0.06,-0.68,0.76,1720972159732
2.38,-0.22,10.40,0.11,-0.57,0.79,1720972159735
4.72,4.01,11.79,-0.05,0.16,0.80,1720972159745
5.46,2.67,13.36,-0.00,0.39,0.70,1720972159748
5.73,2.47,12.69,0.00,0.58,0.59,1720972159751
5.19,5.51,12.37,0.08,0.86,0.08,1720972159761
4.44,5.90,11.09,0.02,0.83,-0.07,1720972159764
3.39,5.12,10.54,0.02,0.74,-0.22,1720972159767
0.53,3.81,6.07,0.19,0.20,-0.51,1720972159777
-0.25,3.18,5.34,0.26,0.05,-0.56,1720972159780
-0.57,2.27,5.90,0.22,-0.08,-0.55,1720972159783
-0.90,2.25,5.37,0.12,-0.16,-0.48,1720972159786
-1.13,0.57,7.37,-0.27,-0.04,-0.07,1720972159796
-1.03,-0.54,8.43,-0.45,0.11,0.10,1720972159799
-0.95,-1.28,9.36,-0.54,0.29,0.24,1720972159802
-0.12,-1.47,13.08,-0.20,0.72,0.57,1720972159812
0.60,0.12,13.35,-0.09,0.67,0.66,1720972159815
1.02,2.01,13.26,-0.02,0.55,0.70,1720972159818
2.69,-0.02,11.54,-0.06,-0.25,0.58,1720972159828
3.43,1.44,11.83,-0.14,-0.46,0.51,1720972159831
3.92,4.22,13.06,-0.13,-0.59,0.39,1720972159834
4.53,6.16,14.37,-0.07,-0.61,0.23,1720972159837
3.59,3.36,8.71,0.33,-0.18,-0.32,1720972159847
2.75,3.62,4.91,0.53,-0.07,-0.46,1720972159850
2.01,3.40,1.89,0.69,0.01,-0.56,1720972159853
1.42,5.91,3.51,-0.30,0.42,-0.30,1720972159863
0.89,5.66,5.63,-0.59,0.58,-0.20,1720972159866
0.61,2.42,9.38,-0.79,0.76,-0.11,1720972159869
-0.59,0.08,19.14,-1.02,1.33,0.12,1720972159879
-1.51,6.15,22.38,-0.68,1.22,0.08,1720972159882
-1.82,10.20,23.64,-0.45,0.85,0.01,1720972159885
-1.32,-0.57,8.62,1.01,-0.67,0.08,1720972159895
-1.50,0.45,2.22,1.44,-0.89,-0.02,1720972159898
-1.15,0.92,-1.94,1.73,-1.04,-0.15,1720972159901
2.34,-3.89,7.01,0.66,-1.04,0.37,1720972159911
1.48,1.17,0.05,0.09,-0.80,0.47,1720972159914
1.81,2.93,0.49,-0.21,-0.47,0.39,1720972159917
2.50,3.45,1.22,-0.85,0.66,0.20,1720972159927
1.96,3.09,2.95,-0.82,0.97,0.07,1720972159930
2.34,1.82,7.75,-0.82,1.26,-0.03,1720972159933
1.17,4.66,18.74,-0.77,1.70,0.09,1720972159943
-1.83,-0.81,19.46,-1.01,1.69,0.13,1720972159946
-1.00,1.40,15.26,-1.14,1.51,0.12,1720972159949
-0.88,2.29,18.87,-0.04,-0.17,0.24,1720972159959
-1.04,4.23,18.00,0.29,-0.64,0.11,1720972159962
-0.15,1.24,17.62,0.49,-0.94,-0.04,1720972159965
1.60,1.21,7.81,0.56,-1.00,0.07,1720972159975
2.01,0.21,7.51,0.39,-0.83,0.14,1720972159978
2.37,0.84,6.06,0.18,-0.63,0.22,1720972159981
3.26,2.45,5.96,-0.10,0.21,0.30,1720972159991
3.67,3.43,7.03,-0.24,0.52,0.30,1720972159994
4.16,3.67,9.25,-0.36,0.81,0.33,1720972159997
3.37,3.41,13.64,-0.38,1.55,0.27,1720972160007
3.22,3.23,14.70,-0.27,1.58,0.20,1720972160010
2.97,4.02,13.60,-0.12,1.47,0.13,1720972160013
-0.31,3.08,8.56,0.19,0.29,-0.34,1720972160023
-0.79,2.42,6.30,0.25,-0.10,-0.45,1720972160026
-0.91,1.80,6.42,0.23,-0.40,-0.51,1720972160029
-0.85,4.63,10.61,-0.24,-0.43,-0.39,1720972160039
-0.66,3.42,11.47,-0.18,-0.20,-0.26,1720972160042
-0.49,2.41,12.22,-0.10,0.07,-0.06,1720972160045
-0.95,4.11,8.51,0.28,0.90,0.38,1720972160055
-0.70,5.08,8.29,0.19,0.99,0.45,1720972160058
-0.57,5.81,8.09,-0.02,0.98,0.51,1720972160061
-0.51,0.60,9.79,-0.49,0.34,0.39,1720972160071
0.00,-0.31,9.68,-0.36,0.09,0.31,1720972160074
-0.26,-0.57,9.77,-0.15,-0.15,0.26,1720972160077
2.22,5.11,14.04,0.12,-0.36,0.29,1720972160087
1.96,5.70,12.05,0.04,-0.22,0.24,1720972160090
2.19,3.47,11.15,-0.02,-0.05,0.18,1720972160093
1.58,4.01,8.13,0.17,0.39,0.12,1720972160103
1.77,5.30,9.40,0.22,0.53,0.06,1720972160106
1.94,6.41,9.57,0.17,0.62,0.06,1720972160109
0.79,2.41,10.16,-0.41,0.73,0.29,1720972160119
0.69,0.85,10.59,-0.47,0.65,0.33,1720972160122
0.75,0.37,10.85,-0.43,0.57,0.33,1720972160125
0.65,-0.96,9.81,0.24,0.09,0.06,1720972160135
1.24,0.04,10.61,0.24,-0.03,0.08,1720972160138
1.46,1.22,10.80,0.17,-0.09,0.13,1720972160141
2.25,0.65,8.99,-0.08,-0.07,0.17,1720972160151
2.15,2.66,7.81,0.07,-0.03,0.14,1720972160154
2.05,3.83,6.91,0.23,0.01,0.09,1720972160157
1.96,11.14,8.09,0.17,0.43,-0.06,1720972160167
1.74,10.49,8.94,0.07,0.53,-0.09,1720972160170
1.49,7.77,9.56,-0.11,0.66,-0.11,1720972160173
-0.10,3.89,10.03,-0.03,0.71,0.02,1720972160183
-0.34,3.97,9.67,-0.02,0.68,0.04,1720972160186
-1.04,2.54,9.04,-0.02,0.61,0.02,1720972160189
-1.46,-0.65,5.80,-0.11,0.07,0.07,1720972160199
-1.24,-0.44,6.23,-0.10,-0.02,0.10,1720972160202
-0.87,-0.18,8.83,-0.12,-0.12,0.16,1720972160205
1.15,2.59,12.99,-0.21,-0.02,0.37,1720972160215
1.44,1.17,13.15,-0.08,0.02,0.40,1720972160218
1.83,0.95,12.15,0.12,0.10,0.41,1720972160221
2.24,5.01,9.05,0.34,0.22,0.16,1720972160231
2.10,6.12,8.02,0.12,0.20,0.12,1720972160234
1.90,6.31,7.70,-0.08,0.19,0.05,1720972160237
1.59,2.84,10.25,-0.11,0.20,-0.06,1720972160247
1.53,2.93,11.54,0.00,0.25,-0.07,1720972160250
1.65,3.52,12.81,0.03,0.33,-0.05,1720972160253
0.56,1.76,10.10,0.05,0.48,0.05,1720972160263
0.22,1.75,8.58,0.12,0.46,0.00,1720972160266
-0.15,2.83,6.77,0.20,0.43,-0.10,1720972160269
-0.15,5.02,9.13,-0.17,0.15,-0.10,1720972160279
-0.21,5.93,9.85,-0.39,0.13,-0.05,1720972160282
-0.30,5.34,11.08,-0.42,0.14,-0.05,1720972160285
-0.46,2.44,10.13,0.23,0.22,0.04,1720972160295
-0.62,3.12,8.70,0.37,0.22,0.08,1720972160298
-0.78,3.18,6.86,0.38,0.19,0.12,1720972160301
-0.16,0.98,5.89,-0.29,0.08,0.18,1720972160311
-0.02,0.77,7.03,-0.40,0.06,0.20,1720972160314
0.24,-0.30,9.97,-0.51,0.09,0.22,1720972160317
1.89,-0.76,15.51,-0.40,0.33,0.41,1720972160327
2.05,-0.11,16.52,-0.13,0.37,0.43,1720972160330
2.40,1.06,16.67,0.08,0.40,0.41,1720972160333
2.56,2.20,14.79,0.23,0.37,0.34,1720972160336
2.39,3.03,8.84,0.27,-0.03,0.03,1720972160346
2.30,3.26,8.10,0.16,-0.13,-0.10,1720972160349
2.16,3.35,7.81,0.08,-0.19,-0.22,1720972160352
1.16,5.01,8.87,0.15,0.01,-0.43,1720972160362
0.80,4.87,9.01,0.21,0.20,-0.48,1720972160365
0.28,4.77,8.43,0.23,0.40,-0.49,1720972160368
-2.06,3.06,7.05,0.05,0.96,-0.36,1720972160378
-2.94,2.33,7.51,-0.09,1.05,-0.29,1720972160381
-3.55,2.07,8.71,-0.24,1.04,-0.21,1720972160384
-4.37,-0.03,11.87,-0.40,0.36,0.26,1720972160394
-4.07,-1.20,13.13,-0.24,0.07,0.38,1720972160397
-3.49,-0.74,12.95,0.00,-0.19,0.45,1720972160400
-0.40,2.02,10.46,0.54,-0.57,0.57,1720972160410
0.03,3.34,7.69,0.42,-0.52,0.56,1720972160413
0.52,4.86,5.54,0.32,-0.44,0.53,1720972160416
1.92,5.58,5.40,-0.05,-0.12,0.46,1720972160426
2.45,4.41,6.33,-0.14,0.04,0.44,1720972160429
2.57,3.30,7.51,-0.23,0.20,0.43,1720972160432
3.09,2.98,13.18,-0.36,0.85,0.37,1720972160442
2.83,3.13,13.61,-0.35,1.05,0.33,1720972160445
2.27,2.17,13.87,-0.29,1.20,0.25,1720972160448
-0.59,-0.86,13.08,-0.08,0.83,0.06,1720972160458
-1.25,-0.50,12.85,-0.01,0.52,0.00,1720972160461
-1.40,-0.69,13.05,0.05,0.17,-0.04,1720972160464
-1.60,1.20,8.75,0.40,-0.51,-0.09,1720972160474
-1.65,1.18,7.65,0.47,-0.51,-0.09,1720972160477
-1.73,1.74,6.49,0.48,-0.43,-0.06,1720972160480
-1.67,3.29,3.67,0.25,0.03,0.16,1720972160490
-1.67,3.42,2.79,0.18,0.16,0.25,1720972160493
-1.77,3.39,2.38,0.13,0.28,0.33,1720972160496
-0.93,1.88,5.90,-0.51,0.56,0.66,1720972160506
-0.96,0.74,8.38,-0.75,0.65,0.78,1720972160509
-0.43,-0.80,11.13,-0.88,0.67,0.91,1720972160512
-0.27,-2.15,18.50,-0.58,0.53,1.04,1720972160522
0.42,-0.76,20.03,-0.38,0.38,1.02,1720972160525
0.79,0.54,20.28,-0.21,0.18,1.05,1720972160528
3.35,0.67,12.89,0.49,-0.38,1.05,1720972160538
