AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
0.52,-0.73,10.90,0.12,0.08,0.16,1721026731461
0.97,-2.32,9.45,-0.02,-0.43,-0.03,1721026731481
1.20,-2.47,10.01,-0.03,-0.33,0.01,1721026731484
1.40,-2.31,10.86,-0.02,-0.20,0.07,1721026731487
1.49,-1.79,11.34,-0.02,-0.04,0.14,1721026731490
1.57,-1.36,11.25,0.01,0.12,0.18,1721026731493
1.51,-1.32,10.96,0.06,0.25,0.19,1721026731496
1.62,-1.61,10.66,0.08,0.31,0.20,1721026731499
1.59,-1.72,10.17,0.09,0.36,0.20,1721026731501
1.53,-1.24,9.40,0.10,0.34,0.19,1721026731504
1.21,-0.44,9.65,-0.03,-0.02,0.01,1721026731515
1.21,-1.10,9.86,-0.05,-0.14,-0.04,1721026731518
1.32,-1.73,10.07,-0.03,-0.23,-0.06,1721026731521
1.21,-1.87,10.24,0.00,-0.29,-0.07,1721026731524
1.28,-2.20,10.30,0.06,-0.31,-0.07,1721026731527
1.24,-2.59,10.22,0.10,-0.29,-0.07,1721026731530
1.33,-2.73,9.80,0.12,-0.26,-0.06,1721026731533
1.20,-2.57,9.42,0.13,-0.20,-0.04,1721026731535
1.21,-2.45,9.20,0.13,-0.12,-0.02,1721026731538
0.99,-1.42,9.19,0.09,0.21,-0.03,1721026731549
0.91,-1.62,9.65,0.05,0.27,-0.01,1721026731552
0.71,-1.11,9.78,0.02,0.31,-0.01,1721026731555
0.55,-0.60,9.90,0.01,0.33,-0.02,1721026731558
0.58,-0.31,10.92,0.02,0.34,-0.04,1721026731561
0.48,0.13,11.85,-0.00,0.33,-0.03,1721026731563
0.24,0.45,11.96,0.08,0.03,0.01,1721026731573
0.36,0.09,11.09,0.16,-0.11,0.02,1721026731576
0.56,-0.53,10.30,0.22,-0.25,0.04,1721026731579
0.73,-0.81,9.46,0.24,-0.33,0.05,1721026731582
0.89,-0.78,8.36,0.24,-0.44,0.05,1721026731585
1.12,-0.57,7.57,0.21,-0.51,0.03,1721026731587
1.34,-0.76,7.46,0.16,-0.53,-0.01,1721026731590
2.26,-2.26,8.69,-0.08,-0.23,-0.05,1721026731601
2.38,-2.54,9.56,-0.03,-0.06,-0.05,1721026731604
2.33,-2.62,10.12,0.00,0.07,-0.06,1721026731607
2.36,-2.15,10.65,0.04,0.27,-0.07,1721026731610
2.39,-1.43,10.68,0.06,0.45,-0.08,1721026731613
2.38,-1.12,10.78,0.07,0.57,-0.05,1721026731615
0.79,-0.75,10.64,0.05,0.56,-0.14,1721026731626
0.39,-0.56,9.77,0.11,0.42,-0.23,1721026731629
0.27,-0.61,9.37,0.16,0.29,-0.28,1721026731632
-0.08,-0.89,9.24,0.21,0.08,-0.31,1721026731635
-0.41,-0.70,9.53,0.19,-0.11,-0.34,1721026731638
-0.72,-0.28,9.62,0.14,-0.25,-0.36,1721026731640
-0.46,-2.13,10.43,-0.04,-0.27,-0.21,1721026731651
-0.47,-2.23,10.51,-0.03,-0.21,-0.13,1721026731654
-0.47,-2.27,10.91,0.00,-0.08,-0.04,1721026731657
-0.32,-2.10,11.43,0.02,0.07,0.03,1721026731660
-0.15,-1.64,11.49,0.00,0.21,0.09,1721026731663
0.13,-1.16,11.14,-0.01,0.31,0.16,1721026731665
0.41,-1.40,10.55,-0.04,0.22,0.20,1721026731676
0.52,-1.57,10.34,-0.03,0.13,0.18,1721026731679
0.86,-1.96,10.62,-0.03,-0.01,0.15,1721026731682
1.14,-2.00,10.99,-0.03,-0.15,0.13,1721026731685
1.38,-1.62,11.10,-0.01,-0.26,0.08,1721026731688
1.67,-1.39,11.39,0.02,-0.32,0.03,1721026731690
2.04,-1.40,11.60,0.06,-0.34,-0.00,1721026731693
2.16,-0.76,9.72,0.19,-0.14,-0.08,1721026731704
