AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
4.75,-1.39,20.26,-0.22,0.89,0.26,1721027680272
4.06,-0.65,19.52,-0.11,0.66,0.12,1721027680275
3.22,-0.63,17.79,0.09,0.28,-0.12,1721027680278
1.66,0.55,8.07,0.96,-0.94,-0.80,1721027680289
1.29,1.67,6.65,0.99,-1.05,-0.92,1721027680292
0.90,2.99,5.13,0.89,-1.07,-0.99,1721027680295
0.49,3.79,3.68,0.70,-1.01,-1.01,1721027680298
0.27,3.50,3.80,0.43,-0.86,-0.96,1721027680301
0.16,2.11,4.89,0.11,-0.62,-0.86,1721027680303
-0.15,0.35,5.88,-0.20,-0.31,-0.74,1721027680306
-0.39,-0.71,6.53,-0.34,-0.08,-0.66,1721027680309
-0.36,-1.56,7.61,-0.45,0.29,-0.53,1721027680312
-2.30,-2.32,12.30,-0.42,1.48,-0.08,1721027680323
-3.06,-2.59,13.56,-0.44,1.60,-0.01,1721027680326
-4.10,-1.53,13.77,-0.45,1.49,-0.01,1721027680329
-4.46,-1.70,10.83,-0.31,1.18,-0.06,1721027680332
-4.95,-2.71,8.50,-0.06,0.77,-0.10,1721027680335
-5.34,-2.16,7.32,0.21,0.30,-0.16,1721027680337
-5.37,-1.52,6.42,0.40,-0.03,-0.21,1721027680340
-5.28,-0.36,4.80,0.56,-0.50,-0.26,1721027680343
-5.13,1.27,3.96,0.56,-0.88,-0.28,1721027680346
-1.99,-3.19,7.92,-0.50,-1.31,0.08,1721027680357
-1.26,-4.87,10.40,-0.76,-1.07,0.28,1721027680360
-0.35,-6.79,14.20,-0.87,-0.72,0.45,1721027680363
0.16,-6.45,16.33,-0.83,-0.27,0.59,1721027680366
0.15,-4.75,18.76,-0.67,0.24,0.70,1721027680369
1.20,-2.49,21.07,-0.47,0.74,0.77,1721027680371
2.14,-1.38,21.55,-0.37,1.03,0.83,1721027680374
2.74,-1.65,20.59,-0.22,1.37,0.96,1721027680377
2.97,-2.32,18.11,-0.02,1.48,1.08,1721027680380
3.17,0.88,2.84,0.83,-0.03,0.72,1721027680391
3.85,0.35,1.47,0.88,-0.61,0.42,1721027680394
4.60,-0.68,2.84,0.75,-1.12,0.10,1721027680397
5.09,-0.14,3.60,0.40,-1.50,-0.21,1721027680400
5.18,1.33,3.35,0.01,-1.70,-0.54,1721027680403
5.44,1.08,5.59,-0.22,-1.73,-0.73,1721027680405
5.97,-1.40,10.67,-0.51,-1.59,-0.92,1721027680408
5.98,-3.44,13.16,-0.64,-1.26,-0.99,1721027680411
5.82,-2.94,15.30,-0.52,-0.75,-0.99,1721027680414
3.84,2.78,20.45,0.00,1.84,-0.85,1721027680425
2.56,0.02,18.12,0.15,2.39,-0.76,1721027680428
0.78,-1.64,15.14,0.33,2.71,-0.71,1721027680431
-1.17,-2.56,12.05,0.46,2.75,-0.76,1721027680434
-3.28,-1.96,10.20,0.44,2.50,-0.88,1721027680437
-4.19,-0.92,7.52,0.38,2.17,-0.99,1721027680439
-5.05,-0.56,3.77,0.29,1.58,-1.12,1721027680442
-6.07,-2.30,3.54,0.19,0.91,-1.23,1721027680445
-7.03,-4.05,4.17,0.12,0.18,-1.29,1721027680448
-7.70,0.10,9.73,0.23,-1.70,-1.42,1721027680459
-7.09,1.62,13.02,0.17,-1.81,-1.32,1721027680462
-6.10,3.17,15.65,0.01,-1.66,-1.10,1721027680465
-5.80,4.08,15.19,-0.10,-1.27,-0.81,1721027680468
-5.60,3.58,15.15,-0.09,-0.91,-0.61,1721027680471
-5.44,1.47,15.67,0.01,-0.29,-0.31,1721027680473
-5.45,1.03,14.42,0.15,0.32,-0.05,1721027680476
-5.34,1.88,11.64,0.33,0.82,0.18,1721027680479
-4.78,2.30,9.82,0.41,1.17,0.35,1721027680482
-3.36,-2.26,7.84,-0.52,0.60,0.78,1721027680493
-2.75,-5.28,9.39,-0.52,0.12,0.87,1721027680496
-2.22,-4.19,9.78,-0.34,-0.38,0.85,1721027680499
-2.76,-2.20,9.68,-0.07,-0.76,0.68,1721027680502
-1.90,-0.44,11.56,0.09,-0.92,0.54,1721027680505
0.42,1.34,16.41,0.31,-1.08,0.40,1721027680507
2.45,5.17,15.79,0.26,-1.10,0.34,1721027680510
3.06,6.64,12.21,0.23,-0.96,0.28,1721027680513
3.42,5.44,11.82,0.27,-0.77,0.20,1721027680516
3.65,5.26,5.67,0.54,-0.21,-0.09,1721027680527
3.84,5.45,4.35,0.44,-0.05,-0.16,1721027680530
3.71,5.66,2.49,0.25,0.09,-0.20,1721027680533
3.51,5.21,2.22,0.10,0.16,-0.22,1721027680536
3.18,3.43,3.29,-0.13,0.25,-0.29,1721027680539
1.67,-1.65,4.50,-0.46,0.48,-0.55,1721027680546
1.47,-3.01,5.31,-0.46,0.57,-0.61,1721027680549
1.18,-4.73,6.95,-0.44,0.61,-0.61,1721027680552
0.52,-5.99,8.21,-0.44,0.64,-0.59,1721027680555
0.20,-6.81,10.41,-0.43,0.69,-0.55,1721027680557
