AccX,AccY,AccZ,GyrX,GyrY,GyrZ,timestamp
1.81,-0.19,10.12,0.01,0.01,-0.02,1721028195510
1.81,-0.18,10.16,0.01,0.01,-0.02,1721028195513
1.81,-0.17,10.14,0.01,0.01,-0.03,1721028195516
1.81,-0.17,10.11,0.01,0.02,-0.03,1721028195526
1.81,-0.18,10.11,0.01,0.02,-0.03,1721028195529
1.81,-0.17,10.11,0.01,0.02,-0.03,1721028195532
1.83,-0.18,10.11,0.01,0.02,-0.03,1721028195535
1.84,-0.19,10.13,0.01,0.02,-0.03,1721028195538
1.79,-0.18,10.08,0.01,0.02,-0.03,1721028195548
1.81,-0.17,10.08,0.01,0.02,-0.03,1721028195551
1.81,-0.17,10.11,0.02,0.02,-0.03,1721028195554
1.81,-0.18,10.14,0.01,0.01,-0.03,1721028195557
1.81,-0.18,10.12,0.01,0.01,-0.03,1721028195560
1.80,-0.18,10.16,0.01,0.02,-0.03,1721028195570
1.81,-0.20,10.15,0.01,0.02,-0.03,1721028195573
1.81,-0.17,10.14,0.01,0.02,-0.02,1721028195576
1.80,-0.18,10.16,0.01,0.02,-0.02,1721028195579
1.81,-0.19,10.15,0.01,0.02,-0.02,1721028195582
1.81,-0.15,10.16,0.01,0.02,-0.03,1721028195592
1.81,-0.14,10.16,0.01,0.02,-0.03,1721028195595
1.82,-0.15,10.17,0.01,0.01,-0.03,1721028195598
1.82,-0.14,10.16,0.01,0.01,-0.03,1721028195601
1.81,-0.17,10.15,0.01,0.01,-0.03,1721028195604
1.83,-0.17,10.17,0.01,0.02,-0.03,1721028195614
1.81,-0.18,10.17,0.01,0.02,-0.02,1721028195617
1.81,-0.17,10.17,0.01,0.02,-0.02,1721028195620
1.82,-0.17,10.17,0.01,0.02,-0.02,1721028195623
1.84,-0.18,10.16,0.01,0.01,-0.02,1721028195626
1.83,-0.19,10.16,0.01,0.02,-0.03,1721028195636
1.83,-0.18,10.14,0.01,0.02,-0.03,1721028195639
1.81,-0.16,10.16,0.01,0.02,-0.03,1721028195642
1.81,-0.15,10.16,0.01,0.02,-0.03,1721028195645
1.81,-0.13,10.13,0.01,0.01,-0.03,1721028195648
1.81,-0.14,10.11,0.01,0.01,-0.03,1721028195651
1.84,-0.15,10.14,0.01,0.01,-0.02,1721028195661
1.85,-0.18,10.11,0.01,0.01,-0.02,1721028195664
1.85,-0.17,10.13,0.01,0.02,-0.02,1721028195667
1.84,-0.19,10.14,0.01,0.02,-0.03,1721028195670
1.85,-0.19,10.15,0.01,0.02,-0.03,1721028195673
1.85,-0.15,10.14,0.01,0.02,-0.03,1721028195683
1.86,-0.14,10.16,0.01,0.02,-0.03,1721028195686
1.87,-0.14,10.18,0.01,0.02,-0.03,1721028195689
1.87,-0.14,10.17,0.01,0.02,-0.03,1721028195692
1.86,-0.15,10.14,0.01,0.02,-0.03,1721028195695
1.81,-0.17,10.16,0.01,0.02,-0.03,1721028195705
1.81,-0.15,10.17,0.01,0.02,-0.03,1721028195708
1.81,-0.15,10.16,0.01,0.02,-0.03,1721028195711
1.80,-0.15,10.18,0.01,0.02,-0.03,1721028195714
1.80,-0.16,10.12,0.01,0.02,-0.03,1721028195717
1.79,-0.16,10.14,0.01,0.01,-0.02,1721028195727
1.80,-0.17,10.11,0.01,0.01,-0.02,1721028195730
1.82,-0.16,10.10,0.01,0.01,-0.02,1721028195733
1.82,-0.14,10.13,0.01,0.01,-0.02,1721028195736
1.82,-0.12,10.15,0.01,0.01,-0.02,1721028195739
1.84,-0.14,10.15,0.01,0.01,-0.02,1721028195749
1.86,-0.14,10.16,0.01,0.01,-0.02,1721028195752
1.86,-0.13,10.18,0.01,0.01,-0.02,1721028195755
1.87,-0.17,10.14,0.01,0.02,-0.02,1721028195758
